smiles,bin_activity
N=C(N)NCCC[C@H](NC(=O)[C@H](Cc1ccc(CN)cc1)NC(=O)c1ccccc1)B(O)O,1
N#C[C@H](Nc1cccc(-c2nn[nH]n2)c1)c1cc(Cl)cc(NC(=O)OCc2ccccc2)c1,1
CNC(=O)[C@H](Nc1cc(Cl)cc(NC(=O)OCc2ccccc2)c1)c1cccc(-c2nn[nH]n2)c1,0
CCc1cc(C(=O)Nc2cccc(-n3nn[nH]c3=O)c2)sc1-c1ccc(Cl)cc1,0
O=C(NCC(F)F)[C@H](Nc1ccc2c(c1)CNC2)c1cc(F)cc2[nH]ncc12,0
C=CC[C@H]1NCc2cc(N[C@H](C(=O)NC(C)C)c3cc(Cl)cc4[nH]ncc34)ccc21,0
O=C(Nc1ccc2c(c1)CNC2)c1cc(Br)cc2[nH]c(-c3ccccc3)nc12,1
Cc1c(C(=O)Nc2cc([C@H]3CCOC3)ccn2)cc(C2CC2)n1C,0
Cn1cc(CCc2nc3c(C(=O)Nc4ccc5c(c4)CNC5)cc(Cl)cc3[nH]2)cn1,0
Cn1cc2cc(Cl)cc(C(=O)Nc3ccc4c(c3)CNC4)c2n1,0
O=C1Cc2cc(C(=O)Nc3ccc4c(c3)CNC4)ccc2N1,1
O=C(Nc1ccc2c(c1)CNC2)c1cccc2cn[nH]c12,0
N#Cc1cc2c(cc1NC(=O)c1cc(F)cc3[nH]ncc13)CNC2,1
O=C(Nc1cc2c(c(C3=CCS(=O)(=O)CC3)c1)CNC2)c1cc(F)cc2[nH]ncc12,0
NCc1csc2cc(C(=O)Nc3ccc4c(c3)CNC4)ccc12,1
O=C(NC1CCOCC1)[C@H](Nc1ccc2c(c1)CNC2)c1cc(Cl)cc2[nH]ncc12,0
O=C(Nc1ccc2c(c1)CNC2)c1cccc(-c2cnco2)c1,0
O=C(Nc1ccc2c(c1)CNC2)c1cc(F)c2[nH]ccc2c1,0
O=C(Nc1ccc2c(c1)CNC2)c1cc(Cl)cc2ccncc12,0
Cn1cc(CCc2nc3c(C(=O)Nc4ccc5c(c4)CNC5)cc(Cl)cc3[nH]2)cn1,0
CNC(=O)[C@H](Nc1ccc2c(c1)CNC2)c1cc(Cl)cc(C2CC2)c1,0
O=C(Nc1ccc2c(c1)CNC2)c1cc(F)cc2[nH]ncc12,0
NCc1csc2cc(C(=O)Nc3ccc4c(c3)CNC4)ccc12,0
Cc1ccccc1-c1nc2c(C(=O)Nc3ccc4c(c3)CNC4)cc(F)cc2[nH]1,1
NCCc1csc2cc(C(=O)Nc3ccc4c(c3)CNC4)ccc12,0
N#Cc1ccc(-c2nc3c(C(=O)Nc4ccc5c(c4)CNC5)cc(F)cc3[nH]2)cc1,1
N=C(N)NCCC[C@H](NC(=O)[C@H](Cc1ccc(CN)cc1)NC(=O)c1ccccc1)B(O)O,1
CNC(=O)[C@H](Nc1cccc(CN)c1)c1cc(Cl)cc(NC(=O)OCc2ccccc2)c1,0
Cc1ccc(NC(=O)c2cc(Cl)cc(NC(=O)OCc3ccccc3)c2)cc1CN,0
